mut_1,mut_2,mut_3,count,gene_name_1,gene_name_2,gene_name_3,amenable_1,amenable_2,amenable_3,all_amenable,mouse_variant_1,mouse_variant_2,mouse_variant_3,all_mouse
AACR-H0000124-M01,AACR-H0000123-M01,AACR-H0000118-M01,301,CBLB,SMC3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000122-M01,AACR-H0000123-M01,AACR-H0000118-M01,301,PDGFRA,SMC3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000118-M01,301,CBLB,PDGFRA,SRSF2,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000123-M01,301,CBLB,PDGFRA,SMC3,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000123-M01,298,CBLB,CBLB,SMC3,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000122-M01,298,CBLB,CBLB,PDGFRA,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000118-M01,298,CBLB,CBLB,SRSF2,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000123-M01,AACR-H0000118-M01,298,CBLB,SMC3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000123-M01,298,CBLB,PDGFRA,SMC3,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000118-M01,298,CBLB,PDGFRA,SRSF2,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000133-M01,AACR-H0000123-M01,292,CBLB,CUX1,SMC3,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000123-M01,AACR-H0000132-M01,292,CBLB,SMC3,RUNX1,False,True,False,False,,True,,False
AACR-H0000124-M01,AACR-H0000133-M01,AACR-H0000118-M01,292,CBLB,CUX1,SRSF2,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000133-M01,292,CBLB,PDGFRA,CUX1,False,True,True,False,,True,True,False
AACR-H0000133-M01,AACR-H0000123-M01,AACR-H0000118-M01,292,CUX1,SMC3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000118-M01,AACR-H0000132-M01,292,CBLB,SRSF2,RUNX1,False,True,False,False,,True,,False
AACR-H0000123-M01,AACR-H0000118-M01,AACR-H0000132-M01,292,SMC3,SRSF2,RUNX1,True,True,False,False,True,True,,False
AACR-H0000122-M01,AACR-H0000133-M01,AACR-H0000123-M01,292,PDGFRA,CUX1,SMC3,True,True,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000133-M01,AACR-H0000118-M01,292,PDGFRA,CUX1,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000123-M01,AACR-H0000132-M01,292,PDGFRA,SMC3,RUNX1,True,True,False,False,True,True,,False
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000132-M01,292,CBLB,PDGFRA,RUNX1,False,True,False,False,,True,,False
AACR-H0000122-M01,AACR-H0000118-M01,AACR-H0000132-M01,292,PDGFRA,SRSF2,RUNX1,True,True,False,False,True,True,,False
AACR-H0000124-M01,AACR-H0000123-M01,AACR-H0000136-M01,290,CBLB,SMC3,FLT3,False,True,True,False,,True,True,False
AACR-H0000122-M01,AACR-H0000136-M01,AACR-H0000118-M01,290,PDGFRA,FLT3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000123-M01,AACR-H0000136-M01,290,PDGFRA,SMC3,FLT3,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000136-M01,290,CBLB,PDGFRA,FLT3,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000136-M01,AACR-H0000118-M01,290,CBLB,FLT3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000123-M01,AACR-H0000136-M01,AACR-H0000118-M01,290,SMC3,FLT3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000133-M01,AACR-H0000123-M01,289,CBLB,CUX1,SMC3,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000118-M01,AACR-H0000137-M01,289,CBLB,SRSF2,SRSF2,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000133-M01,289,CBLB,PDGFRA,CUX1,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000132-M01,289,CBLB,PDGFRA,RUNX1,False,True,False,False,,True,,False
AACR-H0000123-M01,AACR-H0000118-M01,AACR-H0000137-M01,289,SMC3,SRSF2,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000132-M01,289,CBLB,CBLB,RUNX1,False,False,False,False,,,,False
AACR-H0000128-M01,AACR-H0000118-M01,AACR-H0000132-M01,289,CBLB,SRSF2,RUNX1,False,True,False,False,,True,,False
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000133-M01,289,CBLB,CBLB,CUX1,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000123-M01,AACR-H0000132-M01,289,CBLB,SMC3,RUNX1,False,True,False,False,,True,,False
AACR-H0000122-M01,AACR-H0000123-M01,AACR-H0000137-M01,289,PDGFRA,SMC3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000137-M01,289,CBLB,PDGFRA,SRSF2,False,True,True,False,,True,True,False
AACR-H0000124-M01,AACR-H0000123-M01,AACR-H0000137-M01,289,CBLB,SMC3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000122-M01,AACR-H0000118-M01,AACR-H0000137-M01,289,PDGFRA,SRSF2,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000133-M01,AACR-H0000118-M01,289,CBLB,CUX1,SRSF2,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000136-M01,287,CBLB,CBLB,FLT3,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000136-M01,AACR-H0000118-M01,287,CBLB,FLT3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000136-M01,287,CBLB,PDGFRA,FLT3,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000123-M01,AACR-H0000136-M01,287,CBLB,SMC3,FLT3,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000123-M01,AACR-H0000137-M01,286,CBLB,SMC3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000124-M01,AACR-H0000137-M01,286,CBLB,CBLB,SRSF2,False,False,True,False,,,True,False
AACR-H0000128-M01,AACR-H0000122-M01,AACR-H0000137-M01,286,CBLB,PDGFRA,SRSF2,False,True,True,False,,True,True,False
AACR-H0000128-M01,AACR-H0000118-M01,AACR-H0000137-M01,286,CBLB,SRSF2,SRSF2,False,True,True,False,,True,True,False
AACR-H0000133-M01,AACR-H0000123-M01,AACR-H0000136-M01,285,CUX1,SMC3,FLT3,True,True,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000133-M01,AACR-H0000136-M01,285,PDGFRA,CUX1,FLT3,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000133-M01,AACR-H0000136-M01,285,CBLB,CUX1,FLT3,False,True,True,False,,True,True,False
AACR-H0000133-M01,AACR-H0000136-M01,AACR-H0000118-M01,285,CUX1,FLT3,SRSF2,True,True,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000142-M01,AACR-H0000118-M01,284,CBLB,CUX1,SRSF2,False,False,True,False,,,True,False
AACR-H0000124-M01,AACR-H0000122-M01,AACR-H0000142-M01,284,CBLB,PDGFRA,CUX1,False,True,False,False,,True,,False
AACR-H0000124-M01,AACR-H0000142-M01,AACR-H0000123-M01,284,CBLB,CUX1,SMC3,False,False,True,False,,,True,False
AACR-H0000122-M01,AACR-H0000142-M01,AACR-H0000123-M01,284,PDGFRA,CUX1,SMC3,True,False,True,False,True,,True,False
AACR-H0000122-M01,AACR-H0000142-M01,AACR-H0000118-M01,284,PDGFRA,CUX1,SRSF2,True,False,True,False,True,,True,False
AACR-H0000142-M01,AACR-H0000123-M01,AACR-H0000118-M01,284,CUX1,SMC3,SRSF2,False,True,True,False,,True,True,False
AACR-H0000133-M01,AACR-H0000118-M01,AACR-H0000132-M01,283,CUX1,SRSF2,RUNX1,True,True,False,False,True,True,,False
AACR-H0000133-M01,AACR-H0000123-M01,AACR-H0000132-M01,283,CUX1,SMC3,RUNX1,True,True,False,False,True,True,,False
AACR-H0000124-M01,AACR-H0000133-M01,AACR-H0000132-M01,283,CBLB,CUX1,RUNX1,False,True,False,False,,True,,False
AACR-H0000122-M01,AACR-H0000133-M01,AACR-H0000132-M01,283,PDGFRA,CUX1,RUNX1,True,True,False,False,True,True,,False
AACR-H0000128-M01,AACR-H0000133-M01,AACR-H0000136-M01,282,CBLB,CUX1,FLT3,False,True,True,False,,True,True,False
AACR-H0000118-M01,AACR-H0000137-M01,AACR-H0000132-M01,282,SRSF2,SRSF2,RUNX1,True,True,False,False,True,True,,False
AACR-H0000124-M01,AACR-H0000137-M01,AACR-H0000132-M01,281,CBLB,SRSF2,RUNX1,False,True,False,False,,True,,False
AACR-H0000123-M01,AACR-H0000137-M01,AACR-H0000132-M01,281,SMC3,SRSF2,RUNX1,True,True,False,False,True,True,,False
