mut_1,mut_2,count,gene_name_1,gene_name_2,amenable_1,amenable_2,both_amenable,mouse_variant_1,mouse_variant_2,both_mouse
AACR-H0000122-M01,AACR-H0000123-M01,301,PDGFRA,SMC3,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000118-M01,301,CBLB,SRSF2,False,True,False,,True,False
AACR-H0000122-M01,AACR-H0000118-M01,301,PDGFRA,SRSF2,True,True,True,True,True,True
AACR-H0000123-M01,AACR-H0000118-M01,301,SMC3,SRSF2,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000123-M01,301,CBLB,SMC3,False,True,False,,True,False
AACR-H0000124-M01,AACR-H0000122-M01,301,CBLB,PDGFRA,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000124-M01,298,CBLB,CBLB,False,False,False,,,False
AACR-H0000128-M01,AACR-H0000123-M01,298,CBLB,SMC3,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000122-M01,298,CBLB,PDGFRA,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000118-M01,298,CBLB,SRSF2,False,True,False,,True,False
AACR-H0000118-M01,AACR-H0000132-M01,293,SRSF2,RUNX1,True,False,False,True,,False
AACR-H0000123-M01,AACR-H0000132-M01,292,SMC3,RUNX1,True,False,False,True,,False
AACR-H0000122-M01,AACR-H0000132-M01,292,PDGFRA,RUNX1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000132-M01,292,CBLB,RUNX1,False,False,False,,,False
AACR-H0000124-M01,AACR-H0000133-M01,292,CBLB,CUX1,False,True,False,,True,False
AACR-H0000133-M01,AACR-H0000123-M01,292,CUX1,SMC3,True,True,True,True,True,True
AACR-H0000133-M01,AACR-H0000118-M01,292,CUX1,SRSF2,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000133-M01,292,PDGFRA,CUX1,True,True,True,True,True,True
AACR-H0000136-M01,AACR-H0000118-M01,290,FLT3,SRSF2,True,True,True,True,True,True
AACR-H0000123-M01,AACR-H0000136-M01,290,SMC3,FLT3,True,True,True,True,True,True
AACR-H0000118-M01,AACR-H0000137-M01,290,SRSF2,SRSF2,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000136-M01,290,PDGFRA,FLT3,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000136-M01,290,CBLB,FLT3,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000132-M01,289,CBLB,RUNX1,False,False,False,,,False
AACR-H0000124-M01,AACR-H0000137-M01,289,CBLB,SRSF2,False,True,False,,True,False
AACR-H0000123-M01,AACR-H0000137-M01,289,SMC3,SRSF2,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000133-M01,289,CBLB,CUX1,False,True,False,,True,False
AACR-H0000122-M01,AACR-H0000137-M01,289,PDGFRA,SRSF2,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000136-M01,287,CBLB,FLT3,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000137-M01,286,CBLB,SRSF2,False,True,False,,True,False
AACR-H0000133-M01,AACR-H0000136-M01,285,CUX1,FLT3,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000142-M01,284,PDGFRA,CUX1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000142-M01,284,CBLB,CUX1,False,False,False,,,False
AACR-H0000142-M01,AACR-H0000118-M01,284,CUX1,SRSF2,False,True,False,,True,False
AACR-H0000142-M01,AACR-H0000123-M01,284,CUX1,SMC3,False,True,False,,True,False
AACR-H0000133-M01,AACR-H0000132-M01,283,CUX1,RUNX1,True,False,False,True,,False
AACR-H0000137-M01,AACR-H0000132-M01,282,SRSF2,RUNX1,True,False,False,True,,False
AACR-H0000128-M01,AACR-H0000142-M01,281,CBLB,CUX1,False,False,False,,,False
AACR-H0000136-M01,AACR-H0000132-M01,281,FLT3,RUNX1,True,False,False,True,,False
AACR-H0000145-M01,AACR-H0000118-M01,280,GATA2,SRSF2,True,True,True,True,True,True
AACR-H0000133-M01,AACR-H0000137-M01,280,CUX1,SRSF2,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000145-M01,279,CBLB,GATA2,False,True,False,,True,False
AACR-H0000145-M01,AACR-H0000122-M01,279,GATA2,PDGFRA,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000123-M01,279,GATA2,SMC3,True,True,True,True,True,True
AACR-H0000136-M01,AACR-H0000137-M01,278,FLT3,SRSF2,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000122-M01,277,NRAS,PDGFRA,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000124-M01,277,NRAS,CBLB,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000123-M01,277,NRAS,SMC3,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000145-M01,277,CBLB,GATA2,False,True,False,,True,False
AACR-H0000147-M01,AACR-H0000118-M01,277,NRAS,SRSF2,True,True,True,True,True,True
AACR-H0000133-M01,AACR-H0000142-M01,276,CUX1,CUX1,True,False,False,True,,False
AACR-H0000142-M01,AACR-H0000132-M01,275,CUX1,RUNX1,False,False,False,,,False
AACR-H0000147-M01,AACR-H0000128-M01,275,NRAS,CBLB,True,False,False,True,,False
AACR-H0000142-M01,AACR-H0000137-M01,273,CUX1,SRSF2,False,True,False,,True,False
AACR-H0000142-M01,AACR-H0000136-M01,273,CUX1,FLT3,False,True,False,,True,False
AACR-H0000145-M01,AACR-H0000132-M01,271,GATA2,RUNX1,True,False,False,True,,False
AACR-H0000145-M01,AACR-H0000133-M01,271,GATA2,CUX1,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000137-M01,270,GATA2,SRSF2,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000136-M01,269,GATA2,FLT3,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000132-M01,268,NRAS,RUNX1,True,False,False,True,,False
AACR-H0000147-M01,AACR-H0000133-M01,268,NRAS,CUX1,True,True,True,True,True,True
AACR-H0000158-M01,AACR-H0000118-M01,267,NOTCH1,SRSF2,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000136-M01,266,NRAS,FLT3,True,True,True,True,True,True
AACR-H0000158-M01,AACR-H0000123-M01,266,NOTCH1,SMC3,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000158-M01,266,PDGFRA,NOTCH1,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000158-M01,266,CBLB,NOTCH1,False,True,False,,True,False
AACR-H0000147-M01,AACR-H0000137-M01,265,NRAS,SRSF2,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000142-M01,265,GATA2,CUX1,True,False,False,True,,False
AACR-H0000128-M01,AACR-H0000158-M01,263,CBLB,NOTCH1,False,True,False,,True,False
AACR-H0000168-M01,AACR-H0000118-M01,261,NOTCH1,SRSF2,True,True,True,True,True,True
AACR-H0000166-M01,AACR-H0000168-M01,261,NOTCH1,NOTCH1,True,True,True,True,True,True
AACR-H0000166-M01,AACR-H0000118-M01,261,NOTCH1,SRSF2,True,True,True,True,True,True
AACR-H0000166-M01,AACR-H0000123-M01,260,NOTCH1,SMC3,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000142-M01,260,NRAS,CUX1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000166-M01,260,CBLB,NOTCH1,False,True,False,,True,False
AACR-H0000168-M01,AACR-H0000123-M01,260,NOTCH1,SMC3,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000166-M01,260,PDGFRA,NOTCH1,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000168-M01,260,PDGFRA,NOTCH1,True,True,True,True,True,True
AACR-H0000147-M01,AACR-H0000145-M01,260,NRAS,GATA2,True,True,True,True,True,True
AACR-H0000124-M01,AACR-H0000168-M01,260,CBLB,NOTCH1,False,True,False,,True,False
AACR-H0000133-M01,AACR-H0000158-M01,259,CUX1,NOTCH1,True,True,True,True,True,True
AACR-H0000158-M01,AACR-H0000132-M01,259,NOTCH1,RUNX1,True,False,False,True,,False
AACR-H0000128-M01,AACR-H0000166-M01,257,CBLB,NOTCH1,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000168-M01,257,CBLB,NOTCH1,False,True,False,,True,False
AACR-H0000172-M01,AACR-H0000124-M01,256,CBLB,CBLB,True,False,False,True,,False
AACR-H0000172-M01,AACR-H0000123-M01,256,CBLB,SMC3,True,True,True,True,True,True
AACR-H0000158-M01,AACR-H0000137-M01,256,NOTCH1,SRSF2,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000122-M01,256,CBLB,PDGFRA,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000118-M01,256,CBLB,SRSF2,True,True,True,True,True,True
AACR-H0000128-M01,AACR-H0000172-M01,256,CBLB,CBLB,False,True,False,,True,False
AACR-H0000158-M01,AACR-H0000136-M01,255,NOTCH1,FLT3,True,True,True,True,True,True
AACR-H0000168-M01,AACR-H0000132-M01,253,NOTCH1,RUNX1,True,False,False,True,,False
AACR-H0000133-M01,AACR-H0000166-M01,253,CUX1,NOTCH1,True,True,True,True,True,True
AACR-H0000133-M01,AACR-H0000168-M01,253,CUX1,NOTCH1,True,True,True,True,True,True
AACR-H0000166-M01,AACR-H0000132-M01,253,NOTCH1,RUNX1,True,False,False,True,,False
AACR-H0000158-M01,AACR-H0000166-M01,252,NOTCH1,NOTCH1,True,True,True,True,True,True
AACR-H0000158-M01,AACR-H0000168-M01,252,NOTCH1,NOTCH1,True,True,True,True,True,True
AACR-H0000142-M01,AACR-H0000158-M01,252,CUX1,NOTCH1,False,True,False,,True,False
AACR-H0000172-M01,AACR-H0000132-M01,250,CBLB,RUNX1,True,False,False,True,,False
AACR-H0000166-M01,AACR-H0000137-M01,250,NOTCH1,SRSF2,True,True,True,True,True,True
AACR-H0000168-M01,AACR-H0000137-M01,250,NOTCH1,SRSF2,True,True,True,True,True,True
AACR-H0000178-M01,AACR-H0000118-M01,250,NOTCH1,SRSF2,False,True,False,,True,False
AACR-H0000122-M01,AACR-H0000178-M01,249,PDGFRA,NOTCH1,True,False,False,True,,False
AACR-H0000166-M01,AACR-H0000136-M01,249,NOTCH1,FLT3,True,True,True,True,True,True
AACR-H0000178-M01,AACR-H0000123-M01,249,NOTCH1,SMC3,False,True,False,,True,False
AACR-H0000124-M01,AACR-H0000178-M01,249,CBLB,NOTCH1,False,False,False,,,False
AACR-H0000168-M01,AACR-H0000136-M01,249,NOTCH1,FLT3,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000158-M01,248,GATA2,NOTCH1,True,True,True,True,True,True
AACR-H0000180-M01,AACR-H0000118-M01,248,NOTCH1,SRSF2,False,True,False,,True,False
AACR-H0000172-M01,AACR-H0000133-M01,248,CBLB,CUX1,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000136-M01,248,CBLB,FLT3,True,True,True,True,True,True
AACR-H0000180-M01,AACR-H0000158-M01,248,NOTCH1,NOTCH1,False,True,False,,True,False
AACR-H0000147-M01,AACR-H0000158-M01,247,NRAS,NOTCH1,True,True,True,True,True,True
AACR-H0000122-M01,AACR-H0000180-M01,247,PDGFRA,NOTCH1,True,False,False,True,,False
AACR-H0000124-M01,AACR-H0000180-M01,247,CBLB,NOTCH1,False,False,False,,,False
AACR-H0000180-M01,AACR-H0000123-M01,247,NOTCH1,SMC3,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000178-M01,246,CBLB,NOTCH1,False,False,False,,,False
AACR-H0000142-M01,AACR-H0000168-M01,246,CUX1,NOTCH1,False,True,False,,True,False
AACR-H0000142-M01,AACR-H0000166-M01,246,CUX1,NOTCH1,False,True,False,,True,False
AACR-H0000128-M01,AACR-H0000180-M01,245,CBLB,NOTCH1,False,False,False,,,False
AACR-H0000145-M01,AACR-H0000166-M01,244,GATA2,NOTCH1,True,True,True,True,True,True
AACR-H0000145-M01,AACR-H0000168-M01,244,GATA2,NOTCH1,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000137-M01,244,CBLB,SRSF2,True,True,True,True,True,True
AACR-H0000168-M01,AACR-H0000178-M01,244,NOTCH1,NOTCH1,True,False,False,True,,False
AACR-H0000166-M01,AACR-H0000178-M01,244,NOTCH1,NOTCH1,True,False,False,True,,False
AACR-H0000133-M01,AACR-H0000178-M01,243,CUX1,NOTCH1,True,False,False,True,,False
AACR-H0000185-M01,AACR-H0000118-M01,243,CSF3R,SRSF2,True,True,True,True,True,True
AACR-H0000172-M01,AACR-H0000142-M01,242,CBLB,CUX1,True,False,False,True,,False
AACR-H0000185-M01,AACR-H0000123-M01,242,CSF3R,SMC3,True,True,True,True,True,True
AACR-H0000185-M01,AACR-H0000124-M01,242,CSF3R,CBLB,True,False,False,True,,False
AACR-H0000178-M01,AACR-H0000132-M01,242,NOTCH1,RUNX1,False,False,False,,,False
AACR-H0000185-M01,AACR-H0000122-M01,242,CSF3R,PDGFRA,True,True,True,True,True,True
AACR-H0000180-M01,AACR-H0000132-M01,241,NOTCH1,RUNX1,False,False,False,,,False
AACR-H0000158-M01,AACR-H0000178-M01,241,NOTCH1,NOTCH1,True,False,False,True,,False
AACR-H0000133-M01,AACR-H0000180-M01,240,CUX1,NOTCH1,True,False,False,True,,False
